"150224-33-04","150511-16-03","150224-51-03","150223-40-04","150223-38-02","150511-03-04","150224-40-02","150224-30-03","150511-01-02","150811b-05-02","150420-12-04","150512-05-01","150223-39-02","150811b-13-01","150810-12-03","150224-44-02","150223-50-02","150511-03-01","150811a-07-03","150224-43-04"
"150811a-08-02","150512-03-01","150512-06-01","150223-03-01","150511-10-04","150420-21-02","150224-15-04","150223-04-04","150223-03-03","150420-20-04","150511-01-03","150224-10-03","150223-01-03","150512-15-01","150223-12-03","150224-45-04","150511-13-04","150224-20-04","150511-15-04","150511-17-01"
"150511-18-04","150811b-05-04","150223-43-04","150420-19-01","150223-11-04","150420-08-04","150224-31-01","150420-23-04","150223-40-02","150224-09-03","150223-53-01","150223-45-01","150223-28-01","150224-45-03","150223-46-01","150223-13-02","150810-11-02","150420-27-03","150224-24-02","150511-14-04"
"150223-36-02","150224-23-01","150224-47-03","150224-15-03","150810-07-03","150224-36-04","150224-10-01","150810-06-01","150420-15-03","150223-21-03","150511-26-02","150811b-10-04","150511-14-01","150224-19-03","150224-38-03","150420-01-03","150512-13-01","150811b-02-02","150223-08-01","150223-38-04"
"150420-18-03","150511-10-02","150811a-08-02","150511-19-03","150811b-03-04","150512-06-03","150420-05-01","150512-04-04","150420-02-03","150224-18-01","150224-40-01","150810-11-01","150420-04-03","150224-36-01","150223-08-02","150224-35-03","150512-14-01","150420-13-01","150511-12-01","150223-32-04"
"150224-24-04","150224-27-03","150223-20-02","150224-44-03","150420-19-02","150811a-04-01","150511-22-01","150512-03-02","150511-16-02","150224-27-04","150223-37-03","150512-03-01","150511-15-03","150420-23-04","150224-42-01","150811b-11-04","150224-32-04","150224-28-01","150224-22-01","150224-25-02"
"150511-16-03","150810-12-01","150811a-07-01","150223-13-04","150224-37-01","150511-10-01","150811b-10-04","150224-15-03","150224-19-04","150223-23-02","150811b-17-01","150512-01-01","150223-57-01","150511-20-04","150224-18-02","150811a-05-04","150810-01-02","150224-10-03","150224-23-04","150223-12-03"
"150420-06-04","150811a-08-03","150224-51-02","150512-01-02","150511-22-03","150811b-01-04","150810-11-01","150420-16-04","150224-50-04","150224-14-01","150810-12-01","150223-50-02","150223-51-02","150811b-08-01","150224-04-04","150223-49-01","150224-24-01","150224-12-01","150511-11-02","150512-07-03"
"150810-12-03","150223-44-03","150224-40-04","150810-09-03","150223-29-02","150223-03-03","150224-46-02","150511-13-01","150811b-06-04","150223-56-02","150223-35-04","150223-09-04","150512-02-04","150811b-02-02","150420-27-03","150224-10-03","150224-44-02","150810-06-04","150223-22-03","150420-13-02"
"150810-07-01","150224-49-04","150420-03-03","150420-10-01","150223-10-04","150223-60-03","150224-22-01","150420-11-01","150420-20-02","150512-11-02","150511-06-01","150224-34-02","150223-48-01","150224-30-01","150811b-05-02","150420-10-01","150511-04-01","150223-52-03","150811b-04-04","150224-17-01"
"150223-03-01","150811b-06-04","150420-16-01","150223-37-01","150811b-08-01","150223-10-01","150811b-01-04","150811a-08-03","150223-41-02","150223-57-01","150223-22-02","150511-11-01","150811b-07-02","150511-21-03","150511-05-03","150223-24-02","150223-54-01","150512-15-03","150810-10-04","150420-05-01"
"150224-27-02","150224-43-02","150811a-06-04","150811b-11-03","150810-04-03","150810-08-02","150512-06-03","150223-30-04","150223-25-01","150811b-02-02","150223-09-03","150224-13-04","150511-10-01","150511-11-02","150810-01-01","150811b-07-04","150223-30-03","150223-14-01","150223-05-04","150224-18-03"
"150224-01-03","150420-08-02","150224-32-01","150224-05-04","150224-04-04","150511-15-02","150223-07-01","150224-18-02","150420-01-02","150811a-01-02","150811b-01-04","150512-14-04","150224-37-01","150420-03-02","150223-54-01","150420-05-02","150420-10-04","150811b-11-03","150223-01-03","150511-08-02"
"150224-53-01","150224-09-02","150420-13-01","150224-29-02","150511-07-02","150224-18-04","150420-25-02","150224-08-03","150224-53-01","150420-06-04","150810-09-01","150223-19-03","150224-29-03","150224-20-03","150420-25-04","150811b-16-03","150223-34-02","150811b-10-04","150224-34-01","150811a-06-02"
"150224-18-01","150223-42-03","150810-04-04","150420-17-02","150223-60-02","150223-17-02","150223-15-01","150810-07-02","150224-01-03","150223-48-04","150223-23-03","150224-08-04","150223-23-04","150223-16-03","150224-29-01","150810-03-04","150223-59-02","150420-26-03","150420-25-02","150223-19-04"
"150420-13-03","150811a-04-01","150224-29-02","150811b-09-04","150810-03-04","150512-04-04","150224-28-01","150223-58-03","150420-24-02","150223-33-02","150224-37-02","150224-32-01","150223-15-04","150811b-13-02","150512-16-03","150511-04-02","150224-21-03","150223-03-01","150811b-08-02","150224-26-01"
"150420-14-02","150511-01-02","150224-54-02","150511-11-04","150810-10-02","150420-24-01","150420-11-02","150420-02-03","150420-03-01","150224-43-04","150223-58-04","150811a-07-02","150224-44-03","150223-52-02","150224-25-04","150512-12-03","150223-60-01","150511-16-02","150511-06-04","150224-45-02"
"150223-32-04","150420-14-03","150223-33-04","150420-01-04","150811b-06-01","150224-40-04","150420-18-03","150224-37-03","150224-34-01","150223-01-02","150224-32-02","150811b-05-03","150511-09-03","150224-13-04","150223-42-02","150420-26-01","150420-16-01","150224-06-01","150811b-05-01","150224-43-02"
"150511-13-01","150811b-15-02","150810-10-01","150420-07-02","150223-59-04","150224-02-03","150811b-15-02","150511-21-04","150224-21-03","150223-29-04","150811a-01-01","150511-21-01","150511-04-03","150811b-14-01","150223-40-04","150224-51-03","150224-43-01","150223-23-04","150223-42-02","150811b-16-02"
"150810-06-04","150512-16-04","150223-10-01","150512-11-03","150420-02-03","150811a-08-01","150223-42-02","150420-26-02","150223-38-02","150223-19-04","150223-19-03","150512-12-01","150224-27-04","150512-08-02","150224-22-02","150224-18-02","150511-09-02","150512-07-03","150223-24-04","150223-20-02"
"150511-14-02","150224-29-04","150223-30-03","150811b-03-02","150420-13-04","150420-19-03","150223-13-01","150512-15-03","150511-07-04","150223-11-03","150223-20-03","150811a-04-04","150223-16-03","150223-36-02","150223-15-03","150420-12-03","150810-03-02","150223-38-03","150512-05-03","150420-01-01"
"150811b-14-04","150224-01-03","150223-12-01","150511-09-02","150224-42-02","150511-17-03","150420-14-02","150224-43-04","150511-12-04","150512-06-02","150224-48-04","150420-25-01","150810-07-04","150420-02-02","150811b-14-04","150223-57-02","150224-22-03","150224-45-01","150224-03-01","150420-02-03"
"150223-30-04","150223-18-02","150224-42-03","150420-21-04","150224-44-01","150223-34-01","150223-10-03","150223-15-03","150223-36-01","150512-13-03","150223-10-02","150420-27-02","150224-02-01","150223-38-04","150511-24-03","150420-17-02","150420-14-02","150420-04-02","150223-07-04","150811a-03-03"
"150224-13-04","150223-58-02","150224-48-02","150811b-08-03","150811b-15-02","150223-09-03","150223-53-02","150223-38-04","150420-26-02","150223-15-01","150223-33-03","150420-01-02","150420-05-03","150511-10-01","150420-08-02","150511-24-03","150811a-04-01","150223-37-04","150223-51-04","150223-45-01"
"150810-01-01","150223-19-02","150223-46-04","150810-03-02","150811a-08-02","150224-54-04","150224-35-03","150223-46-01","150811b-15-02","150420-26-04","150512-14-04","150512-02-03","150420-11-01","150224-27-01","150512-10-03","150223-23-01","150224-41-02","150810-08-01","150223-10-04","150511-15-01"
"150223-40-04","150420-19-02","150811b-11-02","150512-05-04","150224-16-04","150811a-01-03","150224-51-04","150512-11-02","150512-14-04","150223-49-04","150512-06-02","150420-26-03","150420-13-03","150811a-03-04","150420-10-03","150811b-03-01","150223-14-02","150420-20-03","150223-32-03","150811a-04-02"
"150223-06-01","150420-24-02","150223-51-01","150511-15-03","150224-31-01","150224-48-04","150224-25-02","150511-20-01","150224-29-02","150810-07-03","150224-05-04","150420-14-03","150420-23-03","150223-28-04","150224-10-01","150223-44-01","150811a-03-03","150223-53-03","150811b-13-04","150420-12-04"
"150223-25-02","150420-21-03","150511-19-01","150223-30-01","150223-49-02","150511-18-02","150224-14-01","150512-08-03","150224-16-02","150810-03-03","150511-24-02","150420-09-02","150224-46-01","150810-12-04","150223-25-02","150511-17-03","150511-16-03","150511-06-03","150224-13-03","150223-47-03"
"150223-41-04","150223-03-03","150223-01-03","150224-37-02","150420-01-03","150223-30-03","150810-10-03","150811b-03-01","150223-46-03","150223-34-03","150810-01-03","150810-05-01","150224-11-03","150224-17-02","150810-02-01","150223-52-03","150224-39-03","150224-27-03","150511-22-01","150811a-02-03"
"150224-32-04","150223-46-02","150224-45-03","150511-18-02","150420-18-04","150511-02-04","150224-54-01","150224-41-01","150224-02-03","150224-23-02","150223-43-01","150420-07-04","150420-15-02","150811b-10-02","150224-13-04","150811b-06-04","150420-02-03","150512-17-02","150224-15-04","150811b-05-02"
"150223-12-02","150811b-16-02","150512-05-03","150223-05-01","150420-15-04","150512-01-02","150224-26-02","150224-38-02","150224-18-02","150224-25-02","150420-01-04","150224-54-01","150223-44-03","150420-13-03","150223-11-03","150810-11-04","150223-38-01","150420-14-02","150811b-15-03","150511-04-01"
"150810-02-01","150811b-07-02","150223-54-02","150420-02-04","150511-04-04","150224-34-03","150420-27-04","150420-27-02","150811b-04-02","150224-19-04","150224-12-01","150223-13-03","150224-18-03","150224-32-02","150420-06-02","150420-23-04","150512-07-03","150224-14-04","150224-17-04","150811b-03-01"
"150512-12-02","150224-04-02","150512-14-04","150223-39-01","150223-06-04","150512-02-02","150224-27-04","150811a-02-03","150224-40-04","150224-12-04","150511-12-03","150223-06-02","150223-22-01","150224-35-01","150223-26-02","150811a-03-04","150811a-01-04","150224-53-03","150420-19-04","150420-23-03"
"150223-56-02","150420-02-03","150420-19-03","150223-19-03","150811a-04-03","150811b-05-03","150811b-16-02","150224-21-02","150512-05-03","150224-35-01","150223-16-01","150512-08-02","150810-08-02","150223-48-03","150512-08-04","150224-24-03","150223-20-02","150420-19-02","150810-09-04","150511-11-03"
"150224-36-03","150511-11-03","150223-23-04","150223-44-04","150512-07-01","150224-44-02","150224-53-04","150224-27-03","150223-39-03","150223-03-03","150223-27-02","150224-44-02","150223-03-02","150224-44-01","150811b-08-03","150223-47-02","150811b-11-01","150224-15-04","150224-19-04","150223-15-01"
"150811b-17-01","150223-57-02","150223-22-02","150224-23-04","150223-30-04","150511-19-04","150420-21-03","150511-03-04","150512-09-04","150224-45-01","150810-11-03","150512-17-03","150224-06-01","150810-09-04","150512-17-03","150224-02-03","150224-40-03","150810-02-03","150420-01-01","150224-28-02"
"150224-45-03","150512-17-01","150512-02-02","150223-36-01","150512-10-02","150810-10-02","150512-15-01","150512-01-04","150511-24-03","150224-52-04","150223-56-04","150223-25-04","150223-58-02","150223-46-03","150512-03-01","150224-48-02","150810-10-01","150811b-15-03","150511-16-03","150224-32-02"
"150512-16-02","150811b-08-04","150512-07-03","150224-31-02","150223-16-01","150420-18-01","150810-06-03","150224-17-04","150811a-01-03","150420-13-04","150511-10-01","150223-28-01","150223-08-03","150223-03-04","150223-59-02","150811b-12-04","150223-11-02","150810-11-04","150224-47-02","150223-05-01"
"150512-04-03","150420-05-02","150224-24-01","150223-02-04","150224-02-03","150223-22-02","150224-16-01","150224-04-03","150224-25-03","150224-46-03","150223-38-01","150511-02-01","150420-20-03","150512-05-01","150224-51-01","150811b-01-04","150223-57-04","150511-20-03","150811a-08-03","150512-19-02"
"150511-07-03","150224-39-04","150511-21-04","150223-52-01","150512-12-04","150420-06-04","150511-07-01","150224-45-03","150223-24-03","150224-02-03","150511-02-03","150224-24-01","150811b-12-02","150224-18-03","150511-16-03","150511-03-02","150511-03-02","150810-10-04","150224-53-03","150511-13-04"
"150511-08-03","150512-19-04","150512-16-03","150224-47-04","150512-15-04","150224-47-01","150512-01-04","150223-57-04","150223-05-02","150811b-09-03","150512-19-04","150224-20-02","150223-14-02","150811b-03-03","150420-04-01","150223-56-04","150811b-08-04","150511-24-04","150511-05-03","150811b-11-01"
"150811b-02-02","150224-44-02","150224-49-04","150224-22-02","150224-13-03","150223-35-02","150420-13-01","150811b-13-01","150223-01-01","150224-15-01","150224-08-03","150224-01-03","150811a-01-02","150223-11-02","150420-23-03","150223-43-02","150512-04-04","150223-44-02","150810-04-03","150511-19-01"
"150511-01-02","150223-40-04","150511-13-03","150810-05-01","150224-41-04","150420-09-02","150223-24-03","150224-32-03","150223-23-01","150512-10-02","150224-01-01","150224-17-02","150810-03-04","150224-33-04","150811b-15-02","150811a-06-02","150224-46-04","150223-05-02","150224-26-01","150511-02-04"
"150811b-04-03","150810-07-01","150223-21-03","150511-03-01","150512-03-03","150224-33-01","150224-47-03","150223-47-04","150811a-06-03","150223-42-01","150420-15-04","150811b-03-04","150223-11-01","150810-07-02","150224-11-03","150223-46-04","150811b-02-04","150511-08-03","150223-60-01","150420-21-02"
"150224-03-01","150223-10-04","150223-17-04","150224-43-01","150420-11-03","150224-26-01","150223-39-02","150811b-15-01","150811a-07-02","150420-11-01","150511-07-03","150511-17-01","150511-26-01","150223-09-02","150224-17-02","150810-07-03","150224-36-01","150224-30-01","150223-49-01","150420-20-03"
"150223-09-03","150223-31-02","150224-05-04","150223-45-03","150512-09-02","150223-19-04","150511-09-04","150223-13-01","150223-56-03","150811b-03-04","150512-16-04","150223-43-04","150512-18-01","150420-09-01","150811b-06-03","150224-53-01","150224-16-02","150224-09-02","150420-09-04","150223-03-04"
"150223-11-03","150811b-13-03","150811b-13-01","150223-43-04","150223-46-01","150512-03-03","150420-12-04","150811a-06-04","150511-19-02","150420-08-02","150511-05-02","150511-07-04","150511-16-03","150420-19-01","150224-32-04","150811b-14-04","150420-15-01","150223-13-01","150224-35-01","150224-31-01"
"150224-39-02","150224-51-01","150811b-02-02","150224-06-04","150224-03-02","150811b-09-02","150223-59-01","150420-04-01","150811a-05-04","150223-17-02","150512-12-02","150420-15-01","150811a-08-02","150224-26-04","150420-01-03","150224-06-04","150223-12-04","150223-46-01","150224-39-04","150224-11-01"
"150224-08-02","150223-32-02","150223-41-04","150811b-02-01","150224-50-03","150420-13-04","150420-10-04","150223-27-01","150223-47-01","150420-25-02","150511-20-02","150223-08-02","150224-47-03","150223-34-01","150420-21-04","150811b-05-01","150512-06-04","150511-23-01","150223-26-01","150224-46-01"
"150512-14-04","150811a-05-02","150811a-01-03","150224-50-01","150223-41-04","150511-24-02","150224-44-01","150223-44-02","150223-11-03","150420-21-03","150811b-13-01","150511-06-01","150224-28-03","150223-51-01","150224-33-01","150511-18-01","150811a-05-04","150511-02-04","150223-18-04","150224-02-01"
"150511-06-02","150224-12-04","150511-02-03","150511-07-02","150420-03-04","150420-05-03","150511-04-03","150811b-11-04","150811a-09-01","150811b-04-04","150223-06-03","150224-16-01","150223-39-01","150810-01-02","150512-02-04","150512-13-04","150512-01-04","150223-51-04","150420-27-02","150512-04-03"
"150512-08-02","150224-26-01","150811b-12-01","150811a-03-04","150512-18-01","150810-12-02","150512-04-02","150224-34-03","150223-17-01","150811a-04-01","150223-12-02","150511-08-01","150224-13-03","150223-14-04","150420-07-03","150811b-09-04","150420-07-01","150811b-13-02","150420-03-03","150512-12-04"
"150420-16-02","150420-25-02","150223-26-02","150512-09-04","150224-09-02","150512-17-01","150223-18-01","150420-12-04","150511-03-02","150811a-08-01","150811b-04-01","150223-20-04","150223-55-03","150512-07-03","150223-48-01","150224-39-04","150511-21-02","150811a-09-01","150224-29-02","150512-18-02"
"150420-10-04","150223-17-01","150420-25-01","150811a-02-02","150224-28-02","150420-26-01","150223-31-03","150224-24-01","150811b-07-02","150223-47-04","150420-02-02","150223-39-01","150224-32-04","150511-26-04","150811a-06-02","150223-05-04","150420-09-03","150511-17-04","150224-06-01","150223-29-03"
